Unnamed: 0,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,labels
0,12390,hati organisasi paham larang bumi pancasila bubar,1,0,0,1,1,0,0,0,0,0,0,1,1
1,4405,oohhh kaos rencana tukar pakai kartu tanda duduk ya 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0,1
2,1101,anti bineka cebong tuduh umat islam,1,1,0,1,0,0,0,0,1,0,1,0,1
3,7271,17 rumus luas muka limas xf0 x9f x98 x8c iya biar n5 perjaka duda jihun n15 orang ira 1 1 2 sir neo n88 fi pas masuk dfa tai n89 first chingu dfa cecyl cantik banget n28 alas masuk akademi jisun n99 telur ayam kim,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10427,mari lengser jokowi habis ramadan,1,0,1,0,0,0,0,0,1,0,0,1,1
5,2597,putus erka hormat pilih ai dukung nista agama,1,0,0,1,1,0,0,0,0,0,1,0,1
6,3602,qaumi ekajati conference jamiat ul ulama e hind janab muhammad ali shabb,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9614,bani cebong girang,1,1,0,1,0,0,0,0,1,0,1,0,1
8,6330,kangmas mbakyu suka onta kapal alesannya jal mbah cempreng baca sms 0817 951 1112 jowal jawil ojek online lali kirim salam request lagu palapa fm tunggu,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10238,indoma tt bawa tas sampah plastik rumah xf0 x9f x98 xac,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6323,open follow for rupiah follow nih rupiah sok cantik pacar kayak tai uniform resource locator,1,1,1,0,0,0,0,0,1,1,0,0,1
11,5284,terima kasih papua wajah tinggal budaya bangun abai arif lokal jokowi sayang papua,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1183,nya muara nya tanggung presiden solusi solusi turun jokowi,1,0,1,0,0,0,0,0,1,0,0,1,1
13,13000,sinyal simpati kacrut abissss parah menyetreaming suliddddd,1,1,0,1,0,0,0,0,1,0,1,0,1
14,8753,aktif kang anton charliyan sinergi ulama hasanahkanggojabar,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9048,susah ya club suppo ernya mental lapor polisi pecun amp,0,1,0,0,0,0,0,0,0,0,0,0,1
16,6517,lidah buaya,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1548,bangga orang islam to 0 times,0,0,0,0,0,0,0,0,0,0,0,0,0
18,547,amin rais himbau masyarakat salah pilih pimpin,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2222,autis ketawa ketawa baca balas mention tweet tweet,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7613,hai ahok pikir kayak wan abut cetek pikir merek islam otak kafir,1,1,1,0,1,0,0,0,0,1,0,0,1
21,1024,ganti presiden celeng langsung kelojot salah rocky gerung bilang celeng dungu stabil,1,1,0,1,0,0,0,0,1,0,1,0,1
22,11195,antek antek orde hobi isu partai komunis indonesia jahat orde asing kaya alam sepe i freepo as kerja me ua prabowo,1,0,0,1,0,0,0,0,1,0,1,0,1
23,7355,karantina kamar gas racun kayak nazi basmi yahudi mas,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9260,komputer sebelas rapat ahmadi nur daerah pilih kena pagu anggar dewan wakil rakyat 2016,0,0,0,0,0,0,0,0,0,0,0,0,0
25,539,freepo diam negosiasi kalah,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8850,bilang mencla mencle bos nya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,1
27,2633,bukti kampus rakyat kampus mu ngkin pikir jamban,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4054,sian tai,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10122,basah memek entot,0,1,0,0,0,0,0,0,0,0,0,0,1
30,12978,bahasa indonesia cacat,0,1,0,0,0,0,0,0,0,0,0,0,1
31,5486,banci kaleng kaleng kosong nyaring suara,1,1,1,0,0,0,0,1,0,1,0,0,1
32,287,pakai buruh cina rakyat anggur dasar rejim kodok,1,1,1,0,0,1,0,0,0,1,0,0,1
33,2723,menge i baca selesai ambil hikmah pikir positif rational juang moral jokowi wakil presiden jusuf kalla sambut acara simposium ekonomi,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9027,lapor mas tuju motif sebar hoaks hate speech mari lawan dukung mas lapor milik akun biar kapok sebar fitnah adil tegak hukum budaya law,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2989,dana haji embat jokowi lengser negara gadai asing defisit anggar belanja negara amblas turun jokowi,1,0,1,0,0,0,0,0,1,0,0,1,1
36,2223,konsisten marah kasih video burung onta kepleset bahagia hidup,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9822,kalah suha o prabowo lawan opini 1998 libat konspirasi global as cina sekutu dukung rencana csis elite katolik radikal konglomerat tionghoa jatuh suha o,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1499,partai adil sejahtera ulama cegah bangsa jajah asing asing,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4944,goblok bong suruh gue lapor pikir dungu bilang orang terima nyinyir mentang mentang bela omong orang,1,1,1,0,0,0,0,0,1,1,0,0,1
40,5385,berengsek bajing sih waras gue astagfirullah uniform resource locator,1,1,1,0,0,0,0,0,1,1,0,0,1
41,4295,inti dukung prabowo partai komunis indonesia,1,0,0,1,0,1,0,0,0,0,1,0,1
42,9547,goblok banget nih main screenshot cerita instagram cowok habis sidang skripsi haha caca bego banget panik asli xf0 x9f x98 xad xf0 x9f x98 xad xf0 x9f x98 xad xf0 x9f x98 xad,0,1,0,0,0,0,0,0,0,0,0,0,1
43,5951,5 tantang hadap chat,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10583,munafik golput panas dingin bela sih kuli cina kejang kejang lihat orang kagum pimpin karismatik plonga plongo xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1,1,1,0,0,1,0,0,0,1,0,0,1
45,3081,antek antek prabowo xf0 x9f x98 x86 xf0 x9f x98 x86,1,0,0,1,0,0,0,0,1,0,1,0,1
46,11610,hehe hasil baca diskusi teman syiah liberal komunis islam indonesia himpitan syiah liberal komunis gitu orang sal,0,0,0,0,0,0,0,0,0,0,0,0,0
47,330,follow beli katolik akun prof wawas bangsa terima kasih,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12843,o indeks harga saham gabung tutup 5 907 0 25 no asing catat net buy rp148 sembilan puluh tujuh miliar no nilai tukar usd rupiah tutup rp14 409 no indeks indeks harga saham gabung sektoral 7 3 turun no mayoritas indeks asia tutup amp eropa buka,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7407,sakit panik alami kaum begundal kampret bongkrek prabowo presiden panik sp inya jokowi periode,1,1,0,1,0,0,0,0,1,0,1,0,1
50,1733,aparat sipil tentara nasional indonesia polisi republik indonesia rumah sedia presiden jokowi 17 april 2018,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3027,hem kristen katolik kristen protestan bumi nusantara mas mas ibadah kitab lagu gaya jawa batak flores toraja ds,0,0,0,0,0,0,0,0,0,0,0,0,0
52,11314,tangkal paham radikal edar masyarakat butuh dukung elemen kecuali suluh agama suluh agama harap peran halau kembang paham radikal,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3138,indonesia mundur presiden nya ya mas mas fitnah pakde jokowi uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,1
54,1070,udik pecah balon wkwk,0,1,0,0,0,0,0,0,0,0,0,0,1
55,1292,tim sukses pasang calon pilih gubernur jawa timur 2018 apresiasi debat kandidat,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3432,e a k gue mute anjir,0,1,0,0,0,0,0,0,0,0,0,0,1
57,6781,koruptor lindung komisi berantas korupsi bubar bawa negara perintah nya koruptor,1,0,0,1,0,0,0,0,1,0,1,0,1
58,9586,klaim bani bong toleran pancasilais bineka aktivis islamis yaelah dasar tutup botol penyok xf0 x9f x98 x82,1,1,1,0,0,0,0,0,1,1,0,0,1
59,2294,berani bubar komisi berantas korupsi hadap rakyat anjing,1,1,1,0,0,0,0,0,1,1,0,0,1
60,9782,calon presiden ri 1 nih pintar pro orang otoriter,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1510,anjing anjing lapar rakus duit pesta pora curut curut maling duit rakyat makan kenyang teriak teriak kopar kafir asing asing kedok goblok puja,1,1,0,1,0,0,0,0,1,0,1,0,1
62,7623,istana asai komunis rakyat lengser jokowi jokowi diktator rakyat tentara nasional indonesia uniform resource locator,1,0,1,0,0,0,0,0,1,0,0,1,1
63,10425,pakai wifi gembel,0,1,0,0,0,0,0,0,0,0,0,0,1
64,6628,aduh mata gue sipit banget im not a cina myself aduh sabar ya adik,0,0,0,0,0,0,0,0,0,0,0,0,0
65,10602,katolik nusantara,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12268,akibat teriak ahok kafir nista agama nyata asma dewi libat korup saracen uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0,1
67,12249,najis bikin rejeki seret,1,1,1,0,0,0,0,0,1,1,0,0,1
68,7544,fakta subprime gage dasar khawatir bi dampak pengaruh sistem tingkat sistem perban imbas ekonomi negara yunani,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8860,untung dongok,0,0,0,0,0,0,0,0,0,0,0,0,0
70,899,jilat vagina sih cewek jilat vagina gigit kelentit nya jilat vagina nih xe2 x80 xa6,0,1,0,0,0,0,0,0,0,0,0,0,1
71,1554,teman indonesia network election survey malam bang indonesia network election survey sange berat hubung indonesia network election survey ya 62823 9111 5459 jamin puas bispak janda meme xe2 x80 xa6,0,1,0,0,0,0,0,0,0,0,0,0,1
72,8182,asing bahagia putar asing,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7097,then last rumah rumah hindu patung rumah buddha tokong rumah islam that si it point paham orang islam lihat amal,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2377,salam sejahtera saudara kristen katolik ku happy,0,0,0,0,0,0,0,0,0,0,0,0,0
75,10001,masyaallah wkwk antek antek muncul wehhh lini ku,0,0,0,0,0,0,0,0,0,0,0,0,0
76,11851,buaya makan pepaya,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3623,komisi berantas korupsi henti bagus dewan wakil rakyat bubar bos,1,0,0,1,0,0,0,0,1,0,1,0,1
78,12147,oh iya biar manusia homo pas upacara,0,1,0,0,0,0,0,0,0,0,0,0,1
79,11099,laptop gue 2 selesai selesai service 2 minggu setan,0,1,0,0,0,0,0,0,0,0,0,0,1
80,8408,ohhhhh kader moncong putih ciri khas cebong serang islam coba laku tapir diam,1,1,0,1,0,0,0,0,1,0,1,0,1
81,2923,presiden jokowi tinjau proyek bandara ajati rencana operasi juni 2018 tahap 1 kapasitas terminal tampung 5 juta tumpang bandara internasional jawa barat bangun lahan luas 1 800 amp bangun,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5261,presiden jokowi rampung 30 proyek strategis nasional play station network periode 2016 2017 nila rupiah 94 8 triliun dukung jokowi 2 periode bukti a bangun sambung 2019 jokowi jokowi periode,0,0,0,0,0,0,0,0,0,0,0,0,0
83,9072,ganyang partai komunis indonesia uniform resource locator gedung jaka a uniform resource locator uniform resource locator,1,0,0,1,0,1,0,0,0,0,0,1,1
84,2973,nih memek sange mulu,0,1,0,0,0,0,0,0,0,0,0,0,1
85,4443,prabowo langsung puja puji pindah,1,0,1,0,0,0,0,0,1,1,0,0,1
86,4470,ulama waris nabi kecuali khalifah qs 38 26 daud as rasul nab allah subhanahu wa taala anugerah khalifah presiden gubernur bupati wali kota,0,0,0,0,0,0,0,0,0,0,0,0,0
87,665,su pin siswi kelas 1c katolik santo petrus 1984 istri ronaldo pardede siswa kelas 1a katolik santo petrus 1984,0,0,0,0,0,0,0,0,0,0,0,0,0
88,12392,kevin sanjaya geblek,1,1,1,0,0,0,0,0,1,1,0,0,1
89,35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0,1
90,3262,dinding kamar saksi bisu,0,0,0,0,0,0,0,0,0,0,0,0,0
91,66,setan bisik was was lindung allah qs al a xe2 x80 x99raf 200 fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1534,fiksi buah prosa naratif sifat imajiner imajiner fiksi masuk akal kandung prosa naratif jenis tulis cerita tuju me,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5590,alhamdulillah gue tinggal kompleks warga bodoh kumpul nge gosip kompleks rumah gue sepi banget please xf0 x9f x98 x82,0,0,0,0,0,0,0,0,0,0,0,0,0
94,11948,mention gue genap ya bong mention gue ras masuk kakus cebong dungu berfollower 2 digit,1,1,1,0,0,0,0,0,1,1,0,0,1
95,12221,shanks kru buah iblis milik luffy gomu gomu no mi makan,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1815,bangkai kapal ganggu ekosistem sampah biota laut ikan ilmu ya,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2078,al alquran ya bang mulut kayak orang kafir bejat hina,1,1,1,0,1,0,0,0,0,1,0,0,1
98,8592,buku syekh yusuf orang ulama sufi juang abu hamid 2005 402 halaman harga 100 000 minat,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4429,berat hati gue sales promotion girl in nih kunyuk uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1
100,1223,pilih kepala daerah ntt,0,0,0,0,0,0,0,0,0,0,0,0,0
101,11083,sejarah politik indonesia kenal gera 3 angkat n1 angkat 1945 juang merdeka n2 angkat 1966 tuntut tritura bubar partai komunis indonesia turun harga harga rombak kabinet n3 angkat 1998 tuntut repo,0,0,0,0,0,0,0,0,0,0,0,0,0
102,11021,iya katolik church haha,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8370,a ikel manusia tidur anjing v min,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1757,potensi lokasi ajar daerah toreh sabrang kidul purwosari girimulyo cocok be anam salak dongkrak ekonomi,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3638,lelaki ngentot mami bosan jepit pepek mami bilang puas mami xe2 x80 xa6,0,1,0,0,0,0,0,0,0,0,0,0,1
106,5155,rakyat sahaja presiden kecuali semangat nya indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0
107,6255,ajeng paham sih babi ahok bicara santun bangsat tai anjing setan intonasi familiar tuntun,1,1,1,0,0,0,0,0,1,1,0,0,1
108,3326,partai adil sejahtera ai lacur beyek germo partai adil sejahtera sadar susilo bambang yudhoyono otak kriminalisasi lhi politik islam khianat prabowo hatta langgar pilih presiden 2014 hancur citra islam 2010 2018 partai adil sejahtera susup antek be,1,1,0,1,1,0,0,1,0,0,1,0,1
109,2470,iya sayangkuuu sipit,0,0,0,0,0,0,0,0,0,0,0,0,0
110,8541,greg graffin album folk country tradisional judul millpo nama greg evolutionary biologist amp pentol bad religion gagas punk manifesto musik negara ganjil country kris,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2502,prof rombong cebong intelligence quotient dangkal uap,1,1,0,1,0,0,0,0,1,0,1,0,1
112,8675,takut bosan bicara rezim antek asing asing darurat demokrasi tipu,1,0,0,1,0,0,0,0,1,0,1,0,1
113,5098,kylaaaaaaya instagram fakultas ilmu budaya universitas indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0
114,10780,oke,0,0,0,0,0,0,0,0,0,0,0,0,0
115,12905,yaelah bos bos nyinyir doang suruh kerja becus pikir kuas doang munafik,1,0,1,0,0,0,0,0,1,1,0,0,1
116,2015,pintar gue gugat nya katai cebong ngeles kayak bajaj gugat gampang haha,1,1,1,0,0,0,0,0,1,1,0,0,1
117,7849,padan sepe i ilyas eliyahu etc nama nabi hud tradisi ibrani yahudi,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1032,isu partai komunis indonesia muncul semenjak tabloid obor rakyat isu fitnah jokowi turun partai komunis indonesia kembang jatuh sudut presiden jokowi romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0,0
119,10930,enak doang ngewe,0,1,0,0,0,0,0,0,0,0,0,0,1
120,11749,partai komunis indonesia ilusi ancam nyata negara republik indonesia antek antek neo orde plus front bela islam huh kelompok khilafah puja isis waspada,1,0,0,1,1,1,0,0,0,0,1,0,1
121,6653,barometer terang pilih kepala daerah daerah khusus ibukota tahan 60 tumbang kotak pilih hasil gubernur bawa rahmat,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3819,emot kunyuk uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,1
123,12572,arah bawa sepe i pilih kepala daerah daerah khusus ibukota ya kang bahaya laten ya pilih kepala daerah kayak,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2171,habis enak sakit dasar cowok berengsek,1,1,1,0,0,0,0,0,1,1,0,0,1
125,1016,tau gue war jubah jubah simak ya kyungsoo taehyung bias gue gue war kampang,0,1,0,0,0,0,0,0,0,0,0,0,1
126,5932,on the way jakarta wusssstt turun jokowi,1,0,1,0,0,0,0,0,1,0,0,1,1
127,11074,eh sori banget nih milton j bennet s3 bilang simpati empati goblok,1,1,1,0,0,0,0,0,1,1,0,0,1
128,12940,dute e alir komunis ateis tulen pilih presiden filipina mayoritas kristen katolik,0,0,0,0,0,0,0,0,0,0,0,0,0
129,8028,dasar lelaki kardus lelaki karpet lelaki kencrot lelaki bangkrut lelaki mencret lelaki kernet lelaki bangsaaaaaaaatttt,1,1,1,0,0,0,0,0,1,1,0,0,1
130,11157,anjir berengsek bajing gila sih gue gange i sih nyata parah mantan gue anjir wkwk fokus exo bahagia,1,1,1,0,0,0,0,0,1,1,0,0,1
131,8578,prabowo panik prabowo babi buta erang elite politik goblok mental maling xe2 x80 xa6,1,1,1,0,0,0,0,0,1,1,0,0,1
132,6192,tokoh gus dur presiden warga cina warga negara indonesia nya indonesia mw kuasa cina,1,0,1,0,0,1,0,0,0,1,0,0,1
133,369,gubernur jaman now ya anti hoaks sebar isu ganjar yasin menang ganjar yasin 1 ganjar yasin,0,0,0,0,0,0,0,0,0,0,0,0,0
134,11001,manusia sempurna lahir cacat rencat sepe i lgbt batin alhamdulillah ranah agama tau nak,0,0,0,0,0,0,0,0,0,0,0,0,0
